donation_id,donor_id,donation_amount,donation_date,campaign_type,payment_method
T11546,D0246,337.97,2024-04-17,Health,Debit Card
T11429,D0071,414.87,2024-08-17,Animal Welfare,Credit Card
T11270,D0238,247.48,2024-10-08,Health,Credit Card
T11722,D0264,82.27,2024-11-21,Disaster Relief,UPI
T10671,D0235,464.15,2023-04-20,Health,Debit Card
T10692,D0257,151.7,2023-06-04,Disaster Relief,UPI
T10675,D0246,817.73,2023-11-18,Health,Net Banking
T10678,D0187,707.81,2023-04-27,Animal Welfare,Credit Card
T11246,D0062,38.14,2024-12-16,Animal Welfare,Net Banking
T11362,D0259,205.08,2023-12-12,Health,Net Banking
T11564,D0101,355.89,2023-07-30,Disaster Relief,Debit Card
T11686,D0187,522.16,2023-10-19,Health,Net Banking
T10503,D0074,346.18,2023-07-23,Animal Welfare,
T11202,D0229,14.47,2024-12-17,Health,UPI
T11901,D0133,11.05,2023-10-12,Animal Welfare,Credit Card
T11561,D0112,64.07,2023-05-23,Animal Welfare,UPI
T11835,D0007,223.7,2024-11-21,Environment,UPI
T11685,D0091,406.12,2023-06-13,Education,UPI
T10724,D0290,180.89,2023-02-01,Health,Debit Card
T11536,D0197,49.97,2023-02-25,Education,Net Banking
T11078,D0053,59.25,2024-09-22,Animal Welfare,Credit Card
T10124,D0234,61.74,2024-02-29,Animal Welfare,Credit Card
T10542,D0294,61.92,2023-08-26,Animal Welfare,UPI
T10571,D0233,316.17,2023-05-16,Animal Welfare,Net Banking
T11149,D0204,413.92,2024-01-08,Animal Welfare,UPI
T11570,D0057,186.67,2023-10-16,Education,Credit Card
T10958,D0300,46.37,2023-04-15,Education,Debit Card
T11959,D0134,318.03,2023-06-23,Animal Welfare,Net Banking
T11811,D0022,299.1,2023-07-21,Education,UPI
T11108,D0037,248.16,2024-12-03,Health,UPI
T11977,D0299,122.3,2023-01-05,Animal Welfare,Credit Card
T11554,D0223,61.77,2024-08-03,Disaster Relief,Credit Card
T11478,D0075,329.71,2023-02-03,Animal Welfare,Debit Card
T11516,D0058,218.53,2024-01-19,Education,Credit Card
T10106,D0020,115.66,2023-04-22,Animal Welfare,Net Banking
T11912,D0252,1131.75,2024-06-30,Disaster Relief,UPI
T10077,D0235,25.39,2024-09-28,Animal Welfare,UPI
T11505,D0247,111.77,2023-06-09,Environment,Debit Card
T10587,D0009,37.6,2023-09-04,Health,UPI
T11052,D0150,569.6,2024-07-14,Animal Welfare,Debit Card
T11970,D0084,14.9,2024-12-23,Environment,Net Banking
T10112,D0064,540.99,2023-11-04,Animal Welfare,Debit Card
T11655,D0019,562.79,2023-12-14,Education,Debit Card
T10411,D0111,609.39,2023-06-03,Animal Welfare,Net Banking
T11072,D0217,18.6,2023-01-14,Animal Welfare,UPI
T11120,D0070,449.19,2024-02-05,Animal Welfare,Debit Card
T11389,D0293,130.95,2023-02-20,Animal Welfare,Net Banking
T11922,D0163,203.3,2024-10-21,Environment,UPI
T11399,D0087,255.36,2023-12-25,Animal Welfare,Net Banking
T10754,D0001,40.0,2024-03-14,Health,Credit Card
T11947,D0093,41.91,2024-02-23,Health,UPI
T10162,D0290,210.77,2023-02-12,Disaster Relief,Net Banking
T10479,D0155,158.09,2024-05-09,Health,Net Banking
T10179,D0298,39.59,2024-01-13,,Debit Card
T11041,D0207,322.82,2023-08-29,Education,Net Banking
T10796,D0061,548.0,2023-01-31,Disaster Relief,Net Banking
T10268,D0255,99.1,2023-10-21,Health,Debit Card
T11307,D0026,333.62,2024-07-01,Education,Credit Card
T10735,D0106,429.44,2023-03-02,Animal Welfare,Debit Card
T11380,D0223,45.71,2024-03-02,Education,Credit Card
T11021,D0184,80.58,2024-03-24,Animal Welfare,Debit Card
T11234,D0094,220.92,2024-11-30,Health,Net Banking
T10940,D0260,74.06,2024-02-18,Health,UPI
T10029,D0198,19.51,2024-01-26,Animal Welfare,Net Banking
T11317,D0227,273.05,2023-09-11,Education,Credit Card
T11416,D0096,18.03,2023-07-23,Animal Welfare,
T11518,D0248,65.81,2024-05-27,Health,Credit Card
T11913,D0163,101.87,2024-07-12,Environment,Net Banking
T11631,D0133,95.41,2023-09-29,Health,Net Banking
T11695,D0028,24.12,2024-03-22,Health,Credit Card
T10434,D0189,27.57,2024-06-15,Disaster Relief,UPI
T11966,D0085,50.78,2023-11-20,Environment,Credit Card
T10719,D0072,272.51,2023-07-11,Disaster Relief,Net Banking
T10108,D0198,61.96,2024-08-13,Health,Debit Card
T11994,D0263,288.36,2023-07-24,Environment,Net Banking
T11324,D0008,754.82,2023-06-21,Disaster Relief,UPI
T10152,D0010,41.31,2024-07-06,Education,Debit Card
T10952,D0210,48.56,2024-06-09,Education,UPI
T10950,D0084,193.52,2024-08-08,Health,Credit Card
T11147,D0188,224.85,2024-02-06,Health,Debit Card
T11916,D0018,444.66,2024-11-09,Education,Credit Card
T11269,D0229,78.97,2023-03-22,Environment,Debit Card
T11140,D0237,358.23,2024-04-01,Disaster Relief,Debit Card
T10622,D0087,102.56,2023-12-27,Health,Credit Card
T10548,D0099,156.92,2023-04-26,Disaster Relief,Credit Card
T11585,D0211,39.34,2024-07-13,Animal Welfare,Debit Card
T11939,D0087,26.04,2023-02-20,Environment,Net Banking
T10853,D0071,466.66,2024-03-05,Health,Credit Card
T10305,D0263,754.71,2024-08-30,Education,Net Banking
T10659,D0139,179.16,2023-04-15,Health,UPI
T10265,D0055,280.01,2023-08-31,Environment,Debit Card
T10888,D0215,30.95,2023-06-20,Environment,Net Banking
T11779,D0022,377.61,2023-11-06,Animal Welfare,Debit Card
T10134,D0226,582.62,2023-03-21,Disaster Relief,Credit Card
T10862,D0295,158.63,2024-02-02,Disaster Relief,Credit Card
T11763,D0029,143.98,2024-09-14,Health,Credit Card
T11944,D0137,320.81,2023-10-22,Environment,Net Banking
T11008,D0102,67.45,2024-09-15,Health,Debit Card
T10374,D0127,24.77,2024-12-25,Environment,Net Banking
T10835,D0111,118.58,2023-12-02,Health,UPI
T11413,D0056,21.76,2023-01-20,Disaster Relief,Net Banking
T11512,D0060,632.56,2023-11-12,Disaster Relief,UPI
T10293,D0032,99.32,2024-02-12,Disaster Relief,Credit Card
T11980,D0063,51.18,2024-02-08,Disaster Relief,UPI
T10856,D0290,17.45,2024-05-29,Disaster Relief,Net Banking
T11308,D0053,92.94,2023-10-16,Disaster Relief,Credit Card
T11885,D0277,133.81,2023-11-17,Health,Net Banking
T10350,D0294,149.89,2024-02-19,Environment,Debit Card
T10016,D0190,82.55,2023-12-30,Health,Debit Card
T10576,D0278,41.82,2023-03-03,Education,Net Banking
T10027,D0047,154.41,2023-02-18,Education,Credit Card
T10677,D0167,111.45,2024-01-21,Disaster Relief,Net Banking
T11488,D0056,108.39,2024-08-08,Animal Welfare,UPI
T11011,D0107,889.11,2024-12-05,Environment,Debit Card
T10014,D0041,50.14,2023-08-27,Education,Net Banking
T10186,D0185,349.9,2023-07-03,Disaster Relief,UPI
T11122,D0284,406.29,2024-07-22,Health,UPI
T11780,D0253,17.84,2024-07-26,Environment,Credit Card
T11048,D0175,418.2,2024-01-08,Education,Credit Card
T10193,D0038,210.53,2024-08-13,Education,Credit Card
T11481,D0294,35.61,2024-07-29,Health,Net Banking
T11002,D0228,422.63,2024-01-25,Education,Debit Card
T10102,D0205,85.48,2023-12-03,Disaster Relief,UPI
T11036,D0286,93.07,2024-09-19,Education,UPI
T10649,D0051,148.01,2024-03-23,Health,UPI
T10383,D0044,429.88,2023-11-14,Animal Welfare,Net Banking
T11334,D0249,746.13,2024-12-24,Environment,Debit Card
T10718,D0285,36.55,2023-06-20,Environment,Debit Card
T10092,D0221,296.08,2023-05-11,Education,Debit Card
T10361,D0091,216.17,2024-10-05,Environment,Net Banking
T10372,D0231,29.84,2023-04-16,Disaster Relief,UPI
T11368,D0018,49.61,2023-10-19,Animal Welfare,UPI
T10579,D0196,69.75,2024-04-04,Environment,Net Banking
T10534,D0288,303.06,2024-12-13,Disaster Relief,
T11826,D0264,18.57,2023-08-22,Environment,UPI
T10496,D0221,185.25,2023-05-18,Disaster Relief,Debit Card
T11290,D0178,111.14,2024-05-08,Animal Welfare,Credit Card
T10073,D0042,347.98,2024-03-05,Animal Welfare,Debit Card
T10282,D0013,104.19,2024-09-26,Animal Welfare,Debit Card
T11841,D0143,123.15,2024-12-31,,Debit Card
T10071,D0035,54.31,2024-11-22,Health,Net Banking
T10398,D0083,287.96,2023-07-24,Animal Welfare,Credit Card
T11727,D0245,1152.58,2024-08-17,Health,Credit Card
T10786,D0043,185.12,2024-10-17,Animal Welfare,Credit Card
T11470,D0068,177.41,2023-07-27,Education,Debit Card
T10865,D0291,174.03,2024-07-31,Health,Credit Card
T10766,D0074,297.48,2023-03-12,Animal Welfare,UPI
T10171,D0015,13.35,2024-05-21,,Credit Card
T10206,D0218,31.4,2023-04-28,Animal Welfare,Credit Card
T10870,D0104,103.46,2023-05-14,Disaster Relief,Credit Card
T11309,D0225,347.29,2023-01-09,Health,UPI
T10345,D0062,201.34,2023-01-08,Environment,Net Banking
T10635,D0192,128.63,2024-02-20,Environment,Credit Card
T10771,D0220,384.75,2023-11-19,Health,Credit Card
T11206,D0075,239.96,2024-04-27,Animal Welfare,Net Banking
T10759,D0001,320.8,2023-08-07,Environment,UPI
T11155,D0266,289.44,2024-01-05,Environment,Net Banking
T11441,D0258,29.72,2024-09-11,Environment,Debit Card
T11143,D0135,176.82,2024-10-03,Education,UPI
T10959,D0288,277.91,2024-10-24,Animal Welfare,Debit Card
T11396,D0058,122.74,2024-11-18,Environment,
T11247,D0162,16.61,2024-12-06,Education,UPI
T10694,D0044,34.4,2023-04-29,Health,Debit Card
T11915,D0244,266.08,2024-01-12,Disaster Relief,UPI
T10388,D0071,287.75,2023-06-08,Education,Debit Card
T11428,D0230,213.84,2024-07-09,Health,Credit Card
T11614,D0273,90.99,2024-10-14,Disaster Relief,Net Banking
T10839,D0049,210.08,2024-04-18,Education,Credit Card
T10244,D0019,13.12,2023-05-10,Animal Welfare,Debit Card
T11060,D0284,423.78,2024-03-19,Animal Welfare,Net Banking
T10963,D0077,108.63,2024-06-13,Health,UPI
T10903,D0103,184.95,2023-04-10,Education,Credit Card
T10354,D0224,24.64,2024-08-26,Environment,UPI
T10088,D0067,446.45,2024-10-14,Disaster Relief,Credit Card
T10510,D0289,200.08,2023-11-03,Environment,UPI
T11003,D0243,273.52,2024-12-19,Health,Credit Card
T10125,D0197,121.41,2024-05-21,Environment,Credit Card
T11081,D0161,28.73,2024-07-19,Education,UPI
T11731,D0241,205.58,2024-12-27,Animal Welfare,Debit Card
T11660,D0024,193.56,2023-09-06,Health,UPI
T10770,D0064,33.45,2024-08-26,Environment,Debit Card
T11382,D0157,707.43,2024-06-20,Education,Debit Card
T10574,D0002,406.63,2023-08-12,Animal Welfare,UPI
T11344,D0145,281.51,2023-11-27,,Debit Card
T10491,D0158,203.59,2024-05-24,Education,UPI
T11938,D0046,147.93,2024-04-18,Health,Debit Card
T10673,D0169,158.68,2024-03-26,Disaster Relief,Net Banking
T10651,D0168,164.05,2023-01-31,,Net Banking
T10363,D0162,167.76,2023-06-04,Environment,UPI
T10364,D0241,577.63,2024-03-28,Disaster Relief,Debit Card
T10147,D0043,149.7,2024-10-20,Environment,Credit Card
T11195,D0219,420.42,2024-10-29,Animal Welfare,Debit Card
T11028,D0195,86.87,2024-01-03,Animal Welfare,UPI
T11511,D0293,263.26,2024-09-12,Environment,Credit Card
T11600,D0141,52.61,2023-09-21,Education,UPI
T10419,D0035,289.17,2024-06-22,Animal Welfare,UPI
T11166,D0186,366.92,2024-09-08,Education,Credit Card
T10416,D0074,79.4,2023-10-26,Environment,UPI
T11353,D0286,268.38,2024-03-01,Disaster Relief,UPI
T10621,D0251,56.98,2024-10-19,Environment,Net Banking
T10299,D0142,27.84,2023-05-29,Health,Debit Card
T11037,D0081,268.03,2024-06-01,Environment,Net Banking
T11623,D0048,642.24,2023-02-28,Animal Welfare,Credit Card
T11085,D0039,136.0,2023-07-11,Health,UPI
T11843,D0249,199.83,2024-06-07,Disaster Relief,Credit Card
T10190,D0241,29.55,2024-05-05,Environment,Debit Card
T11521,D0106,554.95,2023-02-07,Environment,Net Banking
T11510,D0174,345.31,2024-01-20,Animal Welfare,Credit Card
T10878,D0194,15.49,2023-11-11,Disaster Relief,Credit Card
T10208,D0031,11.01,2023-06-19,Disaster Relief,Debit Card
T10051,D0110,308.45,2024-07-06,Health,Net Banking
T10012,D0186,367.29,2024-08-14,Health,UPI
T10008,D0053,193.82,2023-04-05,Environment,UPI
T10399,D0129,290.93,2023-02-23,Environment,Debit Card
T10468,D0064,60.62,2024-06-14,Health,Debit Card
T10278,D0047,252.11,2024-02-09,Education,
T10964,D0207,78.13,2024-11-07,Disaster Relief,Credit Card
T10641,D0118,87.74,2023-08-05,Animal Welfare,Net Banking
T10166,D0223,87.36,2023-06-30,Animal Welfare,Debit Card
T10040,D0249,36.03,2023-03-12,Animal Welfare,Credit Card
T10121,D0048,462.85,2023-08-29,Disaster Relief,Credit Card
T10328,D0220,118.81,2024-07-28,Animal Welfare,UPI
T10642,D0139,57.51,2023-02-17,Education,Debit Card
T10531,D0022,1644.49,2023-10-22,Education,Debit Card
T10785,D0257,488.18,2024-03-01,Environment,Net Banking
T11773,D0045,631.71,2023-05-28,Health,Debit Card
T10110,D0267,78.43,2024-07-05,Health,Debit Card
T10482,D0238,131.23,2023-07-28,Disaster Relief,Credit Card
T11240,D0162,415.94,2024-05-19,Animal Welfare,Debit Card
T10348,D0204,103.88,2023-02-13,Environment,UPI
T11543,D0187,69.29,2024-02-06,Health,Debit Card
T11257,D0196,145.3,2023-07-20,Health,Credit Card
T11530,D0059,84.59,2023-01-16,Animal Welfare,UPI
T10582,D0271,145.7,2023-05-11,Health,UPI
T10727,D0282,327.21,2024-06-07,Education,UPI
T10624,D0269,202.6,2023-02-04,Education,UPI
T10568,D0085,479.01,2023-12-02,Animal Welfare,Net Banking
T11961,D0163,115.49,2024-12-28,Animal Welfare,Net Banking
T10942,D0128,220.78,2023-02-03,Environment,UPI
T11111,D0286,60.83,2023-03-14,Animal Welfare,Credit Card
T11805,D0227,308.02,2024-09-03,Animal Welfare,Debit Card
T10009,D0184,256.25,2023-12-19,Animal Welfare,Debit Card
T10578,D0070,145.5,2024-10-18,Environment,Debit Card
T10902,D0219,50.04,2023-03-31,Disaster Relief,Net Banking
T10360,D0089,108.26,2024-09-08,Health,UPI
T10494,D0026,134.61,2023-10-16,Environment,Net Banking
T10291,D0112,17.61,2024-03-30,,Credit Card
T10863,D0091,126.24,2023-08-31,Animal Welfare,Debit Card
T10101,D0117,212.35,2023-08-17,Education,Credit Card
T10130,D0227,118.05,2024-09-19,Animal Welfare,Net Banking
T10733,D0108,158.08,2024-08-25,Disaster Relief,Net Banking
T10887,D0001,64.41,2023-02-19,Environment,Net Banking
T11395,D0166,363.08,2024-12-02,Animal Welfare,UPI
T11199,D0092,37.87,2024-01-15,Animal Welfare,Net Banking
T11661,D0089,155.0,2024-10-09,Education,Debit Card
T11044,D0255,444.27,2024-10-31,Education,UPI
T10271,D0159,342.27,2024-03-27,Education,Debit Card
T11538,D0183,50.04,2023-11-16,Disaster Relief,Credit Card
T10060,D0026,108.43,2024-10-29,Animal Welfare,UPI
T10054,D0217,192.21,2024-02-25,Environment,UPI
T11183,D0273,547.73,2024-05-30,,UPI
T10342,D0113,48.04,2024-02-09,Animal Welfare,UPI
T11926,D0181,187.44,2024-03-06,Animal Welfare,Debit Card
T10746,D0298,106.87,2023-01-03,Education,Net Banking
T10032,D0175,23.45,2023-04-25,Disaster Relief,Net Banking
T10867,D0252,50.16,2023-02-08,Education,UPI
T10661,D0053,871.24,2023-01-27,Education,Debit Card
T10065,D0217,166.48,2024-12-14,Animal Welfare,Net Banking
T10312,D0196,15.14,2024-09-03,Animal Welfare,Debit Card
T11684,D0058,38.43,2023-06-02,Environment,Net Banking
T10563,D0213,12.93,2024-12-19,Animal Welfare,Net Banking
T10840,D0063,12.64,2023-01-13,Education,Credit Card
T11934,D0145,235.69,2023-07-23,Education,Net Banking
T10156,D0059,233.03,2024-07-31,Health,Net Banking
T11197,D0142,703.97,2024-11-27,Environment,Credit Card
T10760,D0068,42.9,2024-08-30,Health,Net Banking
T11241,D0252,309.76,2023-07-07,Animal Welfare,Debit Card
T10894,D0193,230.58,2023-06-14,Education,UPI
T10063,D0031,98.25,2023-06-18,Environment,UPI
T11499,D0104,408.04,2024-12-07,Disaster Relief,Debit Card
T11851,D0239,348.51,2023-07-26,Disaster Relief,
T10456,D0034,12.28,2024-07-17,Animal Welfare,Debit Card
T10198,D0157,446.23,2024-08-05,Animal Welfare,UPI
T11571,D0222,46.79,2024-12-20,Animal Welfare,Net Banking
T10793,D0007,199.07,2024-12-25,Health,UPI
T11185,D0221,563.65,2024-06-18,Environment,Debit Card
T11460,D0013,110.13,2023-07-03,Environment,Credit Card
T11712,D0043,313.52,2024-07-25,Education,Net Banking
T11198,D0212,286.98,2024-07-19,Animal Welfare,Net Banking
T10254,D0024,47.14,2023-11-29,Education,Debit Card
T10979,D0028,191.69,2023-06-04,Health,Credit Card
T10331,D0093,293.64,2023-05-27,Animal Welfare,Net Banking
T11713,D0112,133.16,2023-05-16,Disaster Relief,Debit Card
T10245,D0052,537.1,2024-03-26,Education,Net Banking
T10306,D0258,155.26,2023-08-15,Animal Welfare,
T11914,D0127,129.06,2023-10-12,Health,Debit Card
T11824,D0226,216.51,2024-11-20,Education,Credit Card
T11615,D0140,231.42,2023-12-10,Disaster Relief,Debit Card
T11971,D0060,366.4,2024-05-21,Education,Net Banking
T11437,D0014,253.94,2024-09-18,Animal Welfare,Debit Card
T10333,D0272,34.68,2023-08-09,Environment,Net Banking
T11880,D0294,243.52,2024-02-16,Health,UPI
T10595,D0286,138.48,2024-08-28,Health,Net Banking
T11217,D0266,238.2,2023-01-16,Education,UPI
T10636,D0116,162.12,2023-11-04,Education,UPI
T10847,D0255,1163.62,2023-01-31,Environment,Net Banking
T11743,D0249,12.22,2024-08-30,Animal Welfare,Net Banking
T10263,D0218,156.1,2024-12-07,Disaster Relief,Net Banking
T11630,D0196,292.25,2024-02-02,Disaster Relief,UPI
T11833,D0149,285.72,2024-03-14,Health,UPI
T10720,D0028,567.23,2024-01-03,Education,Net Banking
T11124,D0276,222.98,2024-07-14,Education,Debit Card
T10655,D0038,37.3,2023-03-26,Disaster Relief,Credit Card
T10623,D0280,142.53,2024-05-15,Health,UPI
T11525,D0267,69.35,2024-11-05,Disaster Relief,UPI
T11867,D0029,46.02,2024-11-08,Health,Credit Card
T11365,D0124,38.21,2024-07-30,Animal Welfare,Credit Card
T11063,D0259,118.18,2024-01-29,Environment,Credit Card
T11962,D0073,376.27,2023-09-24,Education,Debit Card
T11689,D0081,299.47,2023-01-30,Environment,UPI
T11566,D0177,230.25,2023-04-02,Animal Welfare,UPI
T10351,D0059,398.27,2024-02-19,Education,Debit Card
T10142,D0200,147.53,2024-03-05,Animal Welfare,Credit Card
T11973,D0235,155.99,2024-05-19,Education,Credit Card
T10367,D0030,481.52,2024-01-13,Disaster Relief,UPI
T10141,D0245,68.01,2023-01-07,Disaster Relief,Debit Card
T10736,D0273,109.66,2023-10-15,Animal Welfare,Credit Card
T11675,D0214,82.68,2024-12-11,Environment,Credit Card
T10569,D0060,95.62,2024-11-27,Health,Net Banking
T11025,D0086,138.57,2023-04-26,Health,UPI
T11969,D0094,15.31,2023-02-06,Environment,Debit Card
T11657,D0268,82.92,2024-04-14,Animal Welfare,Credit Card
T10577,D0017,532.33,2023-10-21,Environment,Credit Card
T10244,D0019,13.12,2023-05-10,Animal Welfare,Debit Card
T11039,D0124,85.75,2023-12-05,Disaster Relief,
T10441,D0030,873.09,2023-03-18,Environment,Debit Card
T11239,D0278,51.04,2023-02-13,Environment,Debit Card
T10814,D0238,417.88,2024-01-13,Animal Welfare,Net Banking
T11121,D0074,633.14,2023-11-02,Disaster Relief,UPI
T11925,D0083,29.52,2024-12-16,Disaster Relief,UPI
T11157,D0053,435.51,2024-12-21,Animal Welfare,Debit Card
T11813,D0061,14.23,2023-09-17,Education,UPI
T11796,D0155,261.98,2023-10-05,Disaster Relief,UPI
T11762,D0229,30.65,2024-01-01,Education,Debit Card
T10613,D0158,27.06,2023-09-25,Disaster Relief,Net Banking
T10409,D0072,29.15,2024-12-23,Environment,Net Banking
T10359,D0053,181.36,2023-05-30,Disaster Relief,Credit Card
T10076,D0235,305.04,2023-11-20,Education,UPI
T10075,D0136,271.13,2024-02-10,Health,Debit Card
T10515,D0269,15.34,2024-10-06,Animal Welfare,Net Banking
T10072,D0062,11.11,2024-08-06,Health,UPI
T11104,D0165,1066.01,2024-06-10,Education,UPI
T10204,D0145,196.5,2024-12-20,Environment,UPI
T10650,D0175,28.19,2024-09-11,Animal Welfare,Net Banking
T11531,D0106,198.49,2024-07-09,Disaster Relief,Debit Card
T10435,D0218,251.44,2023-03-22,Environment,Credit Card
T11753,D0163,65.2,2023-12-19,Health,Debit Card
T11529,D0140,164.94,2023-06-02,Health,Debit Card
T11620,D0007,135.17,2024-02-26,Education,UPI
T11828,D0267,330.61,2023-05-20,Environment,Debit Card
T10914,D0275,170.61,2024-12-04,Environment,Credit Card
T10683,D0130,230.91,2024-11-05,Health,Net Banking
T10666,D0087,66.46,2023-05-23,Disaster Relief,Debit Card
T10003,D0112,192.59,2023-08-27,Animal Welfare,UPI
T10647,D0277,237.33,2023-12-06,Environment,
T11487,D0269,247.8,2023-08-03,Health,UPI
T11864,D0188,845.59,2023-12-24,Animal Welfare,UPI
T11418,D0127,130.37,2024-06-26,Disaster Relief,Debit Card
T11133,D0052,59.74,2023-10-19,Animal Welfare,UPI
T10290,D0209,16.2,2023-10-14,Education,Debit Card
T11279,D0049,148.19,2023-03-07,Environment,UPI
T11561,D0112,64.07,2023-05-23,Animal Welfare,UPI
T11987,D0029,147.22,2023-03-14,Animal Welfare,Net Banking
T11419,D0251,553.24,2024-02-07,Health,UPI
T11778,D0196,68.79,2023-10-24,Animal Welfare,Net Banking
T11407,D0281,337.64,2024-05-09,,Credit Card
T11886,D0206,11.88,2023-09-15,Animal Welfare,Net Banking
T11565,D0292,120.24,2024-11-26,Disaster Relief,Net Banking
T10464,D0065,664.94,2023-11-21,Education,Net Banking
T11454,D0156,16.17,2023-10-20,Environment,Credit Card
T10002,D0217,273.35,2023-02-02,Education,UPI
T11573,D0196,407.26,2024-03-21,Animal Welfare,Credit Card
T10135,D0140,88.08,2023-12-10,Disaster Relief,UPI
T10731,D0017,347.02,2024-04-05,Disaster Relief,Debit Card
T11949,D0128,123.84,2024-01-14,Animal Welfare,Net Banking
T10018,D0084,123.11,2024-04-18,Environment,Debit Card
T11414,D0119,161.5,2024-01-25,Animal Welfare,UPI
T10280,D0135,451.46,2024-08-21,Environment,Debit Card
T10930,D0074,40.01,2024-09-25,Animal Welfare,Net Banking
T11698,D0139,669.99,2023-07-27,Disaster Relief,Credit Card
T10926,D0055,72.58,2024-07-30,Education,Debit Card
T10185,D0052,225.75,2023-07-18,Disaster Relief,Credit Card
T10681,D0150,69.66,2024-12-10,Education,Net Banking
T11750,D0122,163.28,2023-04-30,Education,Debit Card
T10825,D0223,514.79,2024-11-09,Health,Credit Card
T10030,D0271,197.07,2023-09-15,Animal Welfare,UPI
T10309,D0056,73.17,2024-05-17,Environment,UPI
T10417,D0181,89.7,2023-09-04,Animal Welfare,Net Banking
T11690,D0037,48.44,2023-08-29,Environment,Debit Card
T11943,D0061,255.98,2023-08-18,Health,Credit Card
T11090,D0079,582.0,2023-11-27,Animal Welfare,UPI
T11862,D0181,49.06,2023-10-19,Disaster Relief,UPI
T10284,D0155,182.68,2024-10-26,Environment,UPI
T11401,D0103,46.69,2024-12-02,Disaster Relief,Credit Card
T11226,D0174,111.36,2024-04-14,Environment,UPI
T10330,D0159,98.0,2023-12-14,Disaster Relief,UPI
T10449,D0143,27.44,2023-09-13,Education,UPI
T11682,D0277,214.87,2024-06-03,Health,Net Banking
T11576,D0079,14.78,2023-10-23,Health,Credit Card
T11130,D0149,267.05,2024-11-18,Education,Debit Card
T11173,D0133,70.17,2023-07-04,Animal Welfare,Net Banking
T10549,D0235,305.96,2024-10-25,Disaster Relief,Credit Card
T11295,D0252,54.67,2024-05-03,Disaster Relief,UPI
T11311,D0176,460.41,2024-03-06,Disaster Relief,Net Banking
T10137,D0079,252.82,2024-12-24,Health,UPI
T10381,D0171,248.63,2023-03-25,Animal Welfare,Credit Card
T11017,D0052,177.84,2023-06-28,Education,Debit Card
T11756,D0075,651.67,2024-04-14,Disaster Relief,Credit Card
T11586,D0018,247.58,2023-02-08,Animal Welfare,Net Banking
T11061,D0261,838.08,2023-07-01,Animal Welfare,Credit Card
T10704,D0231,23.09,2024-08-29,Environment,Net Banking
T11050,D0187,425.41,2024-04-08,Education,UPI
T11676,D0106,26.88,2023-05-27,Disaster Relief,Net Banking
T10155,D0079,65.43,2023-09-02,Health,Net Banking
T10377,D0210,14.71,2023-12-13,Animal Welfare,UPI
T10679,D0280,411.25,2023-07-04,Animal Welfare,UPI
T11484,D0035,88.49,2024-03-13,Animal Welfare,UPI
T11012,D0121,586.69,2023-01-03,Education,UPI
T10111,D0221,45.16,2023-03-13,Disaster Relief,Debit Card
T10296,D0065,303.93,2024-08-01,Health,UPI
T11941,D0088,91.36,2024-08-03,Education,UPI
T10455,D0045,145.7,2024-11-29,Disaster Relief,Debit Card
T10481,D0081,247.98,2024-03-26,Environment,Net Banking
T10693,D0248,65.52,2023-04-18,Disaster Relief,Net Banking
T10415,D0275,129.0,2023-01-17,Animal Welfare,Credit Card
T11560,D0168,97.21,2024-05-21,Education,UPI
T11117,D0155,429.86,2024-09-13,Education,Debit Card
T11026,D0082,406.16,2023-04-17,Environment,Net Banking
T10418,D0096,233.26,2024-11-11,Education,Debit Card
T11273,D0117,18.09,2023-11-18,Disaster Relief,Debit Card
T11553,D0107,441.19,2024-12-11,Animal Welfare,Net Banking
T11804,D0160,96.07,2024-12-08,Disaster Relief,Credit Card
T10143,D0250,81.59,2023-08-13,Disaster Relief,Net Banking
T10990,D0116,331.3,2024-12-11,Disaster Relief,Debit Card
T10833,D0136,48.81,2023-05-03,Education,Credit Card
T10728,D0138,55.04,2024-07-10,Disaster Relief,UPI
T10524,D0280,374.44,2023-12-29,Disaster Relief,Net Banking
T11549,D0167,210.56,2024-07-23,,Debit Card
T11953,D0038,276.11,2023-04-08,Animal Welfare,UPI
T10680,D0237,349.73,2024-12-26,Health,Net Banking
T11453,D0098,179.08,2023-10-26,Environment,Net Banking
T10537,D0120,66.83,2023-02-23,,Net Banking
T10158,D0084,64.27,2023-11-15,Education,UPI
T10530,D0203,345.22,2023-12-20,Health,Debit Card
T11583,D0218,147.34,2024-09-11,Education,Net Banking
T11930,D0161,183.49,2024-08-12,Education,UPI
T11201,D0204,14.98,2023-05-22,Education,Credit Card
T11298,D0211,212.36,2024-07-28,Environment,Net Banking
T11854,D0221,512.48,2023-05-02,Environment,Net Banking
T11208,D0190,73.94,2023-03-23,Animal Welfare,UPI
T11457,D0047,235.72,2024-05-27,Education,Credit Card
T11059,D0256,207.51,2023-01-05,Animal Welfare,UPI
T10152,D0010,41.31,2024-07-06,Education,Debit Card
T10413,D0063,180.4,2023-02-18,Health,Net Banking
T11609,D0205,165.31,2024-05-02,Disaster Relief,Net Banking
T11262,D0111,84.32,2023-09-18,Environment,UPI
T11200,D0130,293.98,2023-11-11,Animal Welfare,Debit Card
T11267,D0296,140.76,2024-08-12,Animal Welfare,Credit Card
T11910,D0055,82.94,2023-06-29,Health,Debit Card
T10178,D0114,562.07,2024-02-19,Health,Debit Card
T10508,D0202,608.35,2024-09-23,Disaster Relief,
